Disease Term,Id,Description
"Myopathy, Central Core",922,"Central Core Myopathy is a type of muscular disease characterized by muscle weakness, delayed motor development, skeletal abnormalities and the presence of core lesions in muscle fibers."
Transposition of Great Vessels,923,"It is a congenital heart defect in which the positions of the main arteries - the aorta and the pulmonary artery - are switched, causing the blood to bypass the lungs and result in a lack of oxygen throughout the body."
Bacterial Infections,924,"These are illnesses caused by harmful bacteria invading the body, leading to a wide range of symptoms depending on the bacteria strain and area of the body affected."
Craniocerebral Trauma,925,"It is a severe injury to the skull or brain mechanisms often caused by physical trauma, impacting the brain functionality and health to a significant extent."
Hereditary Sensory and Autonomic Neuropathies,926,"This is a group of rare genetic disorders characterized by a loss of certain sensory nerves and impairment of the autonomic nervous system, which can cause various symptoms such as lack of sensation, inability to sweat, and difficulty controlling bodily functions."
Bone Neoplasms,927,These are abnormal growths in the bones that can be benign (non-cancerous) or malignant (cancerous).
"Polycystic Kidney, Autosomal Dominant",928,"Autosomal Dominant Polycystic Kidney Disease is a genetic disorder characterized by the growth of numerous cysts in the kidneys, often leading to kidney failure."
"Arthritis, Rheumatoid",929,"Rheumatoid Arthritis is a chronic inflammatory disorder affecting many joints, including those in the hands and feet, characterized by painful swelling, resulting in joint deformity and erosion."
Hearing Disorders,930,"These are health conditions that impair the ability to hear, leading to partial or total deafness, often manifesting as difficulties in processing or understanding auditory information."
"Hand Deformities, Congenital",931,"These are irregularities in the hand structure present at birth, often marked by missing, smaller, or malformed fingers, hands or arms."
Motor Skills Disorders,932,"Motor Skills Disorders are a group of neurological conditions that affect movement coordination and often result in clumsiness, poor balance, and difficulty in performing tasks requiring fine motor skills."
"Telangiectasia, Hereditary Hemorrhagic",933,"Hereditary Hemorrhagic Telangiectasia is a genetic disorder that leads to abnormal blood vessel formation in the skin, mucous membranes, and often in organs such as the lungs, liver, and brain."
Darier Disease,934,"A genetic skin disorder characterized by small, hard bumps that become progressively worse over time, often leading to itching and a garlic-like odor."
Keratoconus,935,"Keratoconus is a progressive eye condition where the normally round cornea thins and begins to bulge into a cone-like shape, causing distorted vision."
"Colorectal Neoplasms, Hereditary Nonpolyposis",936,"This is a genetic condition characterized by the development of certain types of cancer, particularly cancers of the colon and rectum, at an early age."
"Nephritis, Hereditary",937,"Hereditary Nephritis, also known as Alport Syndrome, is a genetic disorder characterized by kidney disease, hearing loss, and eye abnormalities."
Infection,938,"Infections are caused by invading pathogens such as bacteria, viruses, or fungi, leading to illness and immune response in the body."
"Leishmaniasis, Visceral",939,"Visceral leishmaniasis is a parasitic disease transmitted by the bite of infected sandflies, primarily affecting internal organs like liver, spleen and bone marrow, and leading to fever, weight loss and anemia."
"Sexual Dysfunctions, Psychological",940,"These are disorders characterized by a significant disturbance in a person's ability to respond sexually or experience sexual pleasure, often due to psychological factors."
"Bone Diseases, Metabolic",941,"Metabolic bone diseases are disorders of bone strength usually caused by abnormalities of minerals, vitamin D, bone mass or bone structure, and often resulting in fractures and pain."
Congenital Hypothyroidism,942,This is a condition that affects newborns and is characterized by an underactive thyroid gland which leads to growth and development problems if not treated.
"Osteoporosis, Postmenopausal",943,"It is a condition characterized by the progressive loss of bone density and thinning of bone tissue in women after menopause, making them more likely to sustain fractures."
Anus Diseases,944,"These are conditions that involve inflammation, injury, or other pathologies affecting the anus, which could include hemorrhoids, abscesses, fistulas, and cancers, causing symptoms like pain, itching, bleeding, or difficulty in passing stools."
"Salmonella Infections, Animal",945,"These are bacterial infections transmitted to humans through consumption of contaminated animal-origin products and may cause symptoms such as diarrhea, fever and abdominal cramps."
Infertility,946,A condition where an individual is unable to conceive or cause conception naturally after one year (or six months if they're over 35) of unprotected sex.
Glycogen Storage Disease Type I,947,"This disorder, often hereditary, impairs the body's ability to use glycogen, a stored form of sugar, leading to a buildup of glycogen that can result in low blood sugar and growth complications."
Uveitis,948,"Uveitis is an inflammation of the uvea, the middle layer of the eye, which can lead to reduced vision or blindness if left untreated."
"Glaucoma, Open-Angle",949,"Open-Angle Glaucoma is a progressive condition characterized by an increased pressure within the eyes leading to gradual loss of sight, starting with peripheral vision, due to damage to the optic nerve."
Genetic Predisposition to Disease,950,This refers to an individual's increased likelihood of developing particular diseases due to variations in their genes.
Cryopyrin-Associated Periodic Syndromes,951,"Cryopyrin-Associated Periodic Syndromes are a group of rare hereditary inflammatory disorders characterized by episodes of fever, rash and joint pain, often provoked by cold exposure."
Aphasia,952,"Aphasia is a communication disorder that results from damage to the parts of the brain that contain language, affecting the production or comprehension of speech and the ability to read or write."
Tietze's Syndrome,953,"Tietze's Syndrome is a rare, inflammatory disorder characterized by chest pain and swelling of the cartilage of one or more of the upper ribs."
Mood Disorders,954,"Mood disorders are psychological conditions characterized by the consistent, long-term alteration of a person's mood, leading to severe disturbances in daily life and often categorized as depressive, bipolar, and mood disorders related to other health conditions."
